Total_happiness,Height,Weight,Age,Difficulty_score_1,Difficulty_score_2,BMI,sample
11,1.85,76.19,18,110,110,22.261,1
11,1.77,88,19,125,95,28.088,1
11,1.74,66,46,100,100,21.799,1
12,1.64,57.2,19,120,90,21.267,1
12,1.9,100.69,19,110,100,27.891,1
12,1.67,55.29,19,110,100,19.825,1
12,1.7,69.9,19,120,110,24.186,1
12,1.79,92,19,100,100,28.713,1
12,1.79,78.9,19,110,120,24.624,1
13,1.75,85.3,19,100,100,27.853,1
13,1.6,58,24,120,120,22.656,1
13,2.02,95.3,18,60,60,23.355,1
13,1.87,83.9,18,85,80,23.992,1
13,1.67,73,33,110,115,26.175,1
14,1.75,68,18,110,120,22.204,1
14,1.57,49,18,100,100,19.879,1
14,1.85,77.59,19,140,130,22.67,1
15,1.83,78,18,130,120,23.291,1
15,1.62,44.5,19,100,90,16.956,1
15,1.67,59,18,120,100,21.155,1
16,1.77,82.59,19,100,75,26.362,1
16,,,18,90,110,,1
16,1.62,62.59,21,140,150,23.849,1
16,1.75,66.69,20,120,100,21.776,1
16,1.75,55.29,19,90,90,18.053,1
16,1.83,79.3,18,110,100,23.679,1
16,1.67,53.5,19,130,120,19.183,1
17,1.79,81.59,19,98,89,25.464,1
17,1.62,50.29,18,130,120,19.162,1
17,1.64,66.19,18,105,100,24.609,1
17,1.62,50.29,18,150,130,19.162,1
17,1.87,85.3,18,110,100,24.393,1
17,1.72,51.7,22,75,60,17.475,1
18,1.62,56.2,19,125,105,21.414,1
18,1.67,63.5,19,125,115,22.768,1
19,1.79,76.19,19,110,110,23.778,1
20,1.77,65.8,19,115,105,21.002,1
20,1.79,93,18,100,95,29.025,1
20,1.79,77.09,36,100,100,24.059,1
21,1.79,85.3,21,110,110,26.622,1
21,1.6,66.69,20,150,130,26.05,1
21,1.64,60,19,150,150,22.308,1
21,1.85,82.09,19,108,108,23.985,1
22,1.7,66.19,18,135,120,22.903,1
23,1.7,63.5,26,110,100,21.972,1
23,1.79,66.69,18,98,90,20.813,1
23,1.62,54.4,29,120,120,20.728,1
23,1.57,47.5,21,100,100,19.27,1
23,1.67,47.59,19,100,100,17.064,1
24,1.75,60,19,120,119,19.591,1
24,1.94,92,18,130,120,24.444,1
24,1.67,57.2,28,50,50,20.509,1
26,1.76,75,17,70,65,24.212,1
26,1.72,50.29,19,110,120,16.999,1
8,,,23,150,150,,2
9,1.75,69,19,130,130,22.53,2
9,1.64,57.2,20,150,150,21.267,2
10,1.7,53.5,18,50,50,18.512,2
10,1.77,64,19,125,100,20.428,2
10,1.67,54,27,120,100,19.362,2
10,1.64,56.7,19,100,100,21.081,2
11,1.83,72,21,100,100,21.499,2
11,1.72,64.4,19,100,90,21.768,2
12,1.85,79.8,20,135,105,23.316,2
12,1.71,56.7,19,75,80,19.39,2
12,1.7,70,18,100,100,24.221,2
12,1.79,85,17,70,120,26.528,2
12,1.57,75,18,125,120,30.427,2
12,1.67,45,20,100,150,16.135,2
13,1.83,81.69,20,100,100,24.393,2
13,1.77,60,21,100,100,19.151,2
13,1.75,64.9,18,150,125,21.191,2
13,1.51,57.2,18,135,130,25.086,2
13,1.72,63,18,150,130,21.295,2
13,1.75,79.3,34,125,110,25.893,2
13,1.57,44.5,18,125,150,18.053,2
13,1.67,55.29,18,130,130,19.825,2
13,1.69,59.9,19,130,130,20.972,2
13,1.6,53,19,125,125,20.703,2
13,1.64,50.79,18,125,110,18.883,2
14,1.75,79.5,19,95,94,25.959,2
14,1.75,70,18,110,110,22.857,2
14,1.85,78.5,20,100,100,22.936,2
14,1.7,75.8,19,120,100,26.228,2
14,1.64,50.09,19,150,150,18.623,2
14,1.83,76.09,19,100,100,22.72,2
15,1.79,62,19,125,125,19.35,2
15,1.62,65.8,21,150,100,25.072,2
15,1.67,,24,100,100,,2
15,1.6,54.4,19,125,125,21.25,2
16,1.83,69.9,18,115,115,20.872,2
16,1.71,58.09,18,100,100,19.865,2
16,1.77,64.4,19,95,95,20.556,2
16,1.6,50.29,18,125,125,19.644,2
16,1.7,57,19,150,150,19.723,2
16,1.64,65.3,19,130,115,24.278,2
16,1.64,53.5,17,100,100,19.891,2
16,1.62,48,20,100,100,18.289,2
17,1.64,54,18,75,75,20.077,2
17,1.69,60.29,18,125,125,21.109,2
17,1.7,70,19,115,115,24.221,2
17,1.73,66,19,100,100,22.052,2
17,1.45,46,18,100,100,21.878,2
17,1.75,74,19,125,115,24.163,2
17,1.79,95.3,18,100,100,29.743,2
17,1.6,50.79,19,100,100,19.839,2
18,1.95,77,18,125,100,20.249,2
18,1.9,89.8,22,110,110,24.875,2
18,1.79,70.59,18,110,100,22.031,2
18,1.75,,19,130,135,,2
18,1.62,76.19,19,125,125,29.031,2
18,1.62,57.59,19,130,125,21.944,2
18,1.62,,26,100,100,,2
19,1.77,76.19,20,75,75,24.319,2
19,1.64,53.5,19,100,100,19.891,2
20,1.64,82.59,28,125,125,30.707,2
20,1.64,50.79,19,100,100,18.883,2
20,1.9,80,19,120,120,22.16,2
20,1.62,54,20,100,100,20.576,2
20,1.77,67.09,19,115,105,21.414,2
20,1.87,74.8,19,150,150,21.39,2
20,1.67,,20,125,125,,2
20,1.6,,,100,100,,2
21,1.85,82,19,120,100,23.959,2
21,1.79,78,18,150,120,24.343,2
21,1.7,75.8,19,130,125,26.228,2
21,1.79,71.69,24,100,100,22.374,2
21,1.87,82.59,19,125,100,23.618,2
21,1.96,95,19,100,100,24.729,2
22,1.82,80,21,125,125,24.151,2
22,1.62,54.9,22,125,125,20.919,2
22,1.75,70,31,100,100,22.857,2
22,1.69,59,18,120,120,20.657,2
22,1.9,,20,125,125,,2
22,1.85,82.09,18,100,100,23.985,2
23,1.83,78,20,140,140,23.291,2
23,1.7,82.09,18,125,120,28.404,2
23,1.79,63,19,100,60,19.662,2
23,1.64,63.5,21,150,75,23.609,2
23,1.62,57.59,19,120,120,21.944,2
23,1.57,58.09,19,125,125,23.566,2
24,1.79,80,24,130,110,24.968,2
24,1.87,94.8,18,110,100,27.109,2
24,1.6,50.79,20,125,125,19.839,2
25,1.87,,21,100,100,,2
26,1.79,76.19,18,125,125,23.778,2
10,1.67,57.2,21,150,100,20.509,3
10,1.76,62,18,100,110,20.015,3
12,1.77,98,19,120,100,31.28,3
13,1.85,70.3,19,100,100,20.54,3
13,1.83,73,19,115,100,21.798,3
13,1.83,67.09,18,125,120,20.033,3
13,1.85,83,20,110,100,24.251,3
13,1.72,55.79,28,125,110,18.858,3
14,1.73,74.8,20,120,120,24.992,3
14,1.62,56.2,19,125,120,21.414,3
14,1.62,50.79,19,145,140,19.352,3
14,1.6,60.79,19,115,115,23.746,3
15,1.6,53.5,18,100,75,20.898,3
15,1.6,50,19,80,80,19.531,3
15,1.62,60,19,110,110,22.862,3
15,1.6,52,19,100,90,20.312,3
15,1.64,66.19,34,125,115,24.609,3
15,1.77,70.8,19,110,80,22.598,3
15,1.72,62.29,18,100,70,21.055,3
16,1.83,72.09,19,100,100,21.526,3
16,1.83,78.9,19,140,110,23.559,3
16,1.7,67.59,18,115,100,23.387,3
17,1.75,78.9,18,125,125,25.763,3
17,1.72,98,31,100,85,33.126,3
17,1.7,69.4,26,100,100,24.013,3
17,1.5,51.29,20,110,70,22.795,3
17,1.67,67.59,22,110,105,24.235,3
17,1.72,64.4,18,100,75,21.768,3
17,1.57,66.69,19,105,95,27.055,3
17,1.62,50.79,19,130,110,19.352,3
17,1.67,63.5,20,100,130,22.768,3
18,1.79,67.09,24,100,100,20.938,3
18,1.79,75,21,150,100,23.407,3
19,1.54,60.79,19,150,150,25.632,3
19,1.72,67.09,19,100,95,22.677,3
19,1.58,42,22,150,120,16.824,3
19,1.72,60,20,120,85,20.281,3
19,1.85,72.59,19,100,115,21.209,3
19,1.64,68.9,21,100,100,25.617,3
20,1.75,82.59,19,135,115,26.968,3
20,1.62,60.29,20,130,100,22.972,3
20,1.85,80,18,100,90,23.374,3
21,1.79,68,25,125,90,21.222,3
21,1.78,75.8,18,120,115,23.923,3
22,1.75,60.29,25,110,90,19.686,3
22,1.7,63.5,19,110,90,21.972,3
22,1.83,84.4,21,100,90,25.202,3
22,1.75,65.3,20,90,80,21.322,3
23,1.79,80,29,130,130,24.968,3
23,1.62,54,19,110,80,20.576,3
23,1.77,82.59,20,150,120,26.362,3
24,1.62,47.2,,100,100,17.985,3
25,1.72,67.09,19,130,110,22.677,3
26,1.64,51.7,18,125,100,19.222,3
27,1.75,77.09,18,150,130,25.172,3
9,1.75,67.09,24,100,100,21.906,4
12,1.75,71.19,18,110,90,23.245,4
12,1.62,54,18,125,100,20.576,4
13,1.85,78.5,18,125,100,22.936,4
14,1.79,82.59,18,75,75,25.776,4
14,1.79,59,21,125,125,18.413,4
15,1.77,68,19,125,115,21.705,4
16,1.89,80.09,20,115,115,22.42,4
16,1.75,,19,70,100,,4
16,1.72,69,21,100,100,23.323,4
17,1.7,69.9,19,125,124,24.186,4
17,1.7,65,19,100,150,22.491,4
18,1.71,59.9,18,130,120,20.484,4
18,1.77,73,18,125,125,23.301,4
18,1.74,59.5,19,125,100,19.652,4
19,,58.09,19,125,115,,4
19,1.58,48.09,18,125,110,19.263,4
20,1.47,58.5,19,125,135,27.072,4
20,1.64,,28,120,120,,4
20,1.72,65.3,20,150,125,22.072,4
20,1.7,60.79,18,125,100,21.034,4
21,1.85,73,21,120,120,21.329,4
21,1.7,88,19,100,100,30.449,4
21,1.64,56.4,18,110,90,20.969,4
21,1.83,73,18,120,120,21.798,4
