sample,Sex,UK_citizen,Residence,Extrovert_introvert,Absorbed,Bored
1,M,N,UK,Extrovert,Y,Y
1,F,N,UK,Extrovert,Y,Y
1,M,Y,UK,Extrovert,Y,N
1,M,N,UK,Extrovert,Y,Y
1,M,N,UK,Extrovert,N,Y
1,F,N,UK,Extrovert,N,Y
1,M,Y,UK,Introvert,Y,Y
1,M,Y,UK,Extrovert,Y,N
1,F,N,UK,Extrovert,Y,N
1,F,N,UK,Introvert,Y,N
1,F,Y,UK,Introvert,Y,N
1,M,Y,UK,Extrovert,Y,Y
1,M,Y,UK,Extrovert,Y,N
1,F,Y,UK,Extrovert,N,N
2,M,Y,UK,Introvert,N,Y
2,F,Y,UK,Introvert,N,Y
2,F,Y,UK,Extrovert,Y,N
2,M,Y,UK,Introvert,N,Y
2,F,N,UK,Introvert,Y,Y
2,M,Y,UK,Introvert,,Y
2,F,N,UK,Extrovert,N,N
2,M,N,UK,,Y,Y
2,M,Y,UK,Extrovert,N,Y
2,M,Y,UK,Introvert,Y,Y
2,F,Y,UK,Introvert,N,Y
2,M,N,UK,Extrovert,Y,Y
2,F,N,UK,Introvert,Y,Y
2,F,N,UK,,N,Y
2,M,N,UK,Introvert,Y,N
2,F,Y,UK,Extrovert,Y,Y
2,M,N,UK,Introvert,Y,Y
2,F,Y,UK,Introvert,Y,N
2,M,Y,UK,,N,Y
2,M,Y,UK,Introvert,Y,Y
2,F,Y,UK,Introvert,Y,Y
2,F,N,UK,Introvert,Y,N
2,M,N,UK,,N,N
2,M,Y,UK,,Y,Y
2,M,N,UK,Introvert,Y,N
2,M,Y,UK,Extrovert,Y,Y
3,M,N,UK,Introvert,Y,N
3,M,Y,UK,Introvert,Y,Y
3,F,N,UK,Introvert,Y,Y
3,F,Y,UK,Extrovert,N,Y
3,M,Y,UK,Extrovert,Y,Y
3,M,N,UK,Extrovert,Y,Y
3,F,N,UK,Introvert,Y,Y
3,F,N,UK,Introvert,N,Y
3,M,Y,UK,Extrovert,Y,N
3,F,Y,UK,Extrovert,Y,N
3,M,N,UK,Introvert,Y,N
3,M,N,UK,Extrovert,Y,N
4,F,N,UK,,Y,Y
4,M,Y,UK,Extrovert,Y,Y
4,M,N,UK,Extrovert,Y,N
4,M,N,UK,Extrovert,Y,N
4,M,Y,UK,Introvert,Y,Y
4,F,N,UK,Extrovert,Y,N
4,F,Y,UK,,Y,Y
4,F,N,UK,Extrovert,Y,Y
4,M,Y,UK,Introvert,N,Y
4,F,Y,UK,Extrovert,Y,N
4,M,Y,UK,Introvert,Y,Y
4,F,Y,UK,Extrovert,Y,N
4,F,N,UK,Introvert,N,N
4,M,N,UK,Introvert,N,N
5,M,Y,UK,Extrovert,Y,Y
5,F,Y,UK,Extrovert,Y,Y
5,M,Y,UK,Extrovert,Y,Y
5,M,Y,UK,Extrovert,Y,Y
5,M,Y,UK,Extrovert,Y,N
5,F,Y,UK,Extrovert,Y,Y
5,F,N,UK,Extrovert,Y,Y
5,F,N,UK,,Y,Y
5,M,N,UK,,Y,N
6,F,Y,UK,Extrovert,N,Y
6,M,Y,UK,Introvert,Y,Y
6,F,Y,UK,Introvert,Y,Y
6,F,Y,UK,Extrovert,,N
6,M,Y,UK,Extrovert,Y,Y
6,M,Y,UK,Extrovert,Y,Y
6,M,N,UK,Introvert,Y,Y
6,M,Y,UK,Introvert,N,Y
6,F,Y,UK,Extrovert,Y,Y
6,F,N,UK,Introvert,Y,Y
6,F,N,UK,Extrovert,N,Y
6,F,Y,UK,Introvert,N,Y
6,F,Y,UK,Extrovert,Y,N
6,F,N,UK,Introvert,Y,N
6,F,N,UK,Introvert,Y,N
6,F,N,UK,Extrovert,Y,N
6,F,N,UK,Extrovert,Y,N
6,F,Y,UK,Extrovert,N,Y
7,F,N,UK,Introvert,Y,N
7,F,N,UK,Extrovert,Y,N
7,F,N,UK,Introvert,N,N
7,M,Y,UK,Introvert,Y,N
7,F,N,UK,Extrovert,N,N
7,M,Y,UK,Extrovert,Y,Y
8,F,N,UK,Introvert,N,Y
8,M,Y,UK,Introvert,Y,Y
8,M,Y,UK,Introvert,Y,N
8,M,N,UK,Extrovert,Y,Y
8,F,N,UK,Extrovert,Y,N
8,F,Y,UK,Introvert,N,N
8,M,Y,UK,Introvert,Y,N
8,M,N,UK,Introvert,Y,N
8,F,N,UK,Introvert,N,N
8,M,N,UK,Extrovert,Y,Y
8,F,N,UK,Introvert,Y,Y
8,M,Y,UK,Introvert,Y,N
8,F,N,UK,Introvert,N,N
8,F,N,UK,Introvert,Y,N
8,M,Y,UK,Extrovert,N,Y
8,F,N,UK,Introvert,Y,N
8,M,N,UK,Extrovert,N,Y
9,M,Y,UK,Extrovert,Y,Y
9,F,Y,UK,Introvert,Y,Y
9,M,Y,UK,Introvert,Y,N
9,F,Y,UK,Introvert,Y,Y
9,M,Y,UK,Extrovert,N,Y
9,M,Y,UK,Introvert,N,Y
9,F,Y,UK,Introvert,Y,Y
9,F,Y,UK,Introvert,Y,Y
9,M,Y,UK,Introvert,N,Y
9,M,N,UK,Introvert,Y,Y
9,F,N,UK,Extrovert,Y,N
9,M,Y,UK,Introvert,N,Y
9,M,N,UK,Introvert,Y,
9,M,Y,UK,Extrovert,Y,Y
9,M,Y,UK,Extrovert,Y,N
9,F,Y,UK,Extrovert,Y,Y
9,F,Y,UK,Extrovert,N,Y
9,M,N,UK,Extrovert,Y,N
9,M,Y,UK,Extrovert,N,Y
9,M,N,UK,Introvert,Y,N
9,M,Y,UK,Extrovert,Y,Y
9,M,N,UK,Extrovert,Y,N
9,M,Y,UK,Extrovert,Y,Y
9,F,Y,UK,Extrovert,N,Y
9,F,Y,UK,Extrovert,Y,Y
10,F,N,UK,Introvert,Y,Y
10,M,Y,UK,Introvert,N,Y
10,F,N,UK,Introvert,Y,Y
10,F,N,UK,,Y,Y
10,M,N,UK,Extrovert,Y,N
10,M,N,UK,Introvert,Y,Y
10,F,N,UK,Extrovert,Y,N
10,F,Y,UK,Extrovert,Y,Y
10,F,N,UK,Introvert,Y,Y
10,M,Y,UK,,N,Y
10,F,N,UK,Introvert,Y,Y
10,F,N,UK,Extrovert,Y,N
10,M,Y,UK,Extrovert,Y,Y
