Total happiness,Sex,UK_student,Ext_int,Absorbed,Bored
12,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
10,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
26,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
27,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
8,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
6,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
12,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
25,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
6,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
28,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
21,M,Y,Extrovert,Y,Y
10,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
28,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
20,M,Y,Extrovert,Y,Y
19,M,Y,Extrovert,Y,Y
23,M,Y,Extrovert,Y,Y
18,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
13,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
22,M,Y,Extrovert,Y,Y
17,M,Y,Extrovert,Y,Y
16,M,Y,Extrovert,Y,Y
24,M,Y,Extrovert,Y,Y
15,M,Y,Extrovert,Y,Y
14,M,Y,Extrovert,Y,Y
