Total_happiness,Sex,UK_student,Extrovert_introvert,Absorbed,Bored,sample
11,M,Y,Extrovert,N,Y,1
11,M,Y,Introvert,N,Y,1
11,F,Y,Introvert,Y,N,1
12,M,Y,Extrovert,Y,Y,1
12,M,Y,Extrovert,Y,Y,1
12,F,Y,Extrovert,Y,Y,1
12,F,Y,Extrovert,Y,Y,1
12,M,Y,Introvert,Y,Y,1
12,M,Y,Extrovert,N,Y,1
13,M,N,Extrovert,Y,Y,1
13,F,N,Extrovert,Y,Y,1
13,M,Y,Extrovert,N,Y,1
13,M,Y,Introvert,Y,N,1
13,F,N,Introvert,Y,N,1
14,F,N,Extrovert,Y,Y,1
14,F,Y,Introvert,N,Y,1
14,M,Y,Extrovert,Y,N,1
15,M,Y,Extrovert,Y,Y,1
15,F,Y,Extrovert,N,Y,1
15,F,Y,Extrovert,Y,N,1
16,M,Y,Extrovert,Y,Y,1
16,M,Y,Extrovert,Y,Y,1
16,F,Y,Extrovert,Y,Y,1
16,M,N,Extrovert,Y,Y,1
16,M,N,Extrovert,N,Y,1
16,M,Y,Extrovert,Y,N,1
16,F,Y,Extrovert,Y,N,1
17,M,Y,Extrovert,Y,Y,1
17,F,Y,Extrovert,Y,Y,1
17,F,Y,Introvert,Y,Y,1
17,F,N,Extrovert,N,Y,1
17,M,Y,Extrovert,Y,N,1
17,F,Y,Introvert,Y,N,1
18,F,Y,Extrovert,Y,N,1
18,F,Y,Extrovert,N,N,1
19,M,Y,Introvert,Y,Y,1
20,M,Y,Extrovert,Y,Y,1
20,M,Y,Extrovert,Y,N,1
20,F,N,Extrovert,Y,N,1
21,M,Y,Extrovert,Y,Y,1
21,F,Y,Extrovert,Y,Y,1
21,F,N,Introvert,Y,Y,1
21,M,Y,Extrovert,Y,N,1
22,F,N,Introvert,Y,N,1
23,M,Y,Extrovert,Y,Y,1
23,M,Y,Extrovert,N,Y,1
23,F,Y,Introvert,Y,N,1
23,F,N,Introvert,Y,N,1
23,F,N,Introvert,N,N,1
24,M,Y,Extrovert,Y,Y,1
24,M,Y,Introvert,N,Y,1
24,F,Y,Extrovert,Y,N,1
