Total_happiness,Height,Weight,Age,BMI,sample
11,1.85,76.19,18,22.261,1
11,1.77,88,19,28.088,1
11,1.74,66,46,21.799,1
12,1.64,57.2,19,21.267,1
12,1.9,100.69,19,27.891,1
12,1.67,55.29,19,19.825,1
12,1.7,69.9,19,24.186,1
12,1.79,92,19,28.713,1
12,1.79,78.9,19,24.624,1
13,1.75,85.3,19,27.853,1
13,1.6,58,24,22.656,1
13,2.02,95.3,18,23.355,1
13,1.87,83.9,18,23.992,1
13,1.67,73,33,26.175,1
14,1.75,68,18,22.204,1
14,1.57,49,18,19.879,1
14,1.85,77.59,19,22.67,1
15,1.83,78,18,23.291,1
15,1.62,44.5,19,16.956,1
15,1.67,59,18,21.155,1
16,1.77,82.59,19,26.362,1
16,,,18,,1
16,1.62,62.59,21,23.849,1
16,1.75,66.69,20,21.776,1
16,1.75,55.29,19,18.053,1
16,1.83,79.3,18,23.679,1
16,1.67,53.5,19,19.183,1
17,1.79,81.59,19,25.464,1
17,1.62,50.29,18,19.162,1
17,1.64,66.19,18,24.609,1
17,1.62,50.29,18,19.162,1
17,1.87,85.3,18,24.393,1
17,1.72,51.7,22,17.475,1
18,1.62,56.2,19,21.414,1
18,1.67,63.5,19,22.768,1
19,1.79,76.19,19,23.778,1
20,1.77,65.8,19,21.002,1
20,1.79,93,18,29.025,1
20,1.79,77.09,36,24.059,1
21,1.79,85.3,21,26.622,1
21,1.6,66.69,20,26.05,1
21,1.64,60,19,22.308,1
21,1.85,82.09,19,23.985,1
22,1.7,66.19,18,22.903,1
23,1.7,63.5,26,21.972,1
23,1.79,66.69,18,20.813,1
23,1.62,54.4,29,20.728,1
23,1.57,47.5,21,19.27,1
23,1.67,47.59,19,17.064,1
24,1.75,60,19,19.591,1
24,1.94,92,18,24.444,1
24,1.67,57.2,28,20.509,1
26,1.76,75,17,24.212,1
26,1.72,50.29,19,16.999,1
8,,,23,,2
9,1.75,69,19,22.53,2
9,1.64,57.2,20,21.267,2
10,1.7,53.5,18,18.512,2
10,1.77,64,19,20.428,2
10,1.67,54,27,19.362,2
10,1.64,56.7,19,21.081,2
11,1.83,72,21,21.499,2
11,1.72,64.4,19,21.768,2
12,1.85,79.8,20,23.316,2
12,1.71,56.7,19,19.39,2
12,1.7,70,18,24.221,2
12,1.79,85,17,26.528,2
12,1.57,75,18,30.427,2
12,1.67,45,20,16.135,2
13,1.83,81.69,20,24.393,2
13,1.77,60,21,19.151,2
13,1.75,64.9,18,21.191,2
13,1.51,57.2,18,25.086,2
13,1.72,63,18,21.295,2
13,1.75,79.3,34,25.893,2
13,1.57,44.5,18,18.053,2
13,1.67,55.29,18,19.825,2
13,1.69,59.9,19,20.972,2
13,1.6,53,19,20.703,2
13,1.64,50.79,18,18.883,2
